Word,Frequency,IDF,Score
hawc,4,2.946,1.21694
sissa,4,2.946,1.21694
leptonic,4,2.946,1.21694
cosmicrays,4,2.946,1.21694
archival,4,2.946,1.21694
protons,4,2.946,1.21694
hemispheres,4,2.946,1.21694
binned,4,2.946,1.21694
trino,4,2.946,1.21694
unexpected,4,2.946,1.21694
excursion,4,2.946,1.21694
excursions,4,2.946,1.21694
searched,4,2.946,1.21694
blazars,4,2.946,1.21694
trum,4,2.946,1.21694
interstellar,4,2.946,1.21694
hit,4,2.946,1.21694
tank,4,2.946,1.21694
skymap,4,2.946,1.21694
unblinded,4,2.946,1.21694
nomademe,4,2.946,1.21694
estimate,10,1.154,1.19194
sensitive,10,1.154,1.19194
differential,10,1.154,1.19194
distance,10,1.154,1.19194
corresponding,10,1.154,1.19194
transients,5,2.253,1.16326
equatorial,5,2.253,1.16326
nuclei,6,1.847,1.14466
ergy,6,1.847,1.14466
pseudo,6,1.847,1.14466
trial,6,1.847,1.14466
program,6,1.847,1.14466
width,6,1.847,1.14466
produced,11,1.0,1.13601
presented,11,1.0,1.13601
original,11,1.0,1.13601
way,11,1.0,1.13601
supported,11,1.0,1.13601
extending,7,1.56,1.12747
overlap,7,1.56,1.12747
exposure,7,1.56,1.12747
middle,7,1.56,1.12747
black,7,1.56,1.12747
particle,7,1.56,1.12747
yield,8,1.336,1.10418
ranking,8,1.336,1.10418
grid,8,1.336,1.10418
extended,9,1.154,1.07274
follow,9,1.154,1.07274
able,9,1.154,1.07274
individual,9,1.154,1.07274
theoretical,9,1.154,1.07274
details,9,1.154,1.07274
applying,9,1.154,1.07274
bottom,9,1.154,1.07274
window,9,1.154,1.07274
around,9,1.154,1.07274
part,10,1.0,1.03274
post,10,1.0,1.03274
relative,10,1.0,1.03274
flat,6,1.56,0.9664
law,6,1.56,0.9664
injection,6,1.56,0.9664
reconstruction,6,1.56,0.9664
spread,6,1.56,0.9664
fractional,6,1.56,0.9664
mail,7,1.336,0.96616
vixra,7,1.336,0.96616
joint,7,1.336,0.96616
degrees,7,1.336,0.96616
approximately,7,1.336,0.96616
blue,7,1.336,0.96616
assuming,7,1.336,0.96616
profile,7,1.336,0.96616
positions,5,1.847,0.95389
nasa,5,1.847,0.95389
fluxes,5,1.847,0.95389
angles,5,1.847,0.95389
reconstructed,5,1.847,0.95389
generate,8,1.154,0.95355
likely,8,1.154,0.95355
log,8,1.154,0.95355
compute,8,1.154,0.95355
view,8,1.154,0.95355
diffuse,4,2.253,0.93061
muon,4,2.253,0.93061
harder,4,2.253,0.93061
spec,4,2.253,0.93061
suppressed,4,2.253,0.93061
stars,4,2.253,0.93061
trigger,4,2.253,0.93061
summed,4,2.253,0.93061
efficiencies,4,2.253,0.93061
amplitude,4,2.253,0.93061
neutron,4,2.253,0.93061
parameters,9,1.0,0.92946
possible,9,1.0,0.92946
index,9,1.0,0.92946
including,9,1.0,0.92946
zero,9,1.0,0.92946
without,9,1.0,0.92946
sub,9,1.0,0.92946
ground,9,1.0,0.92946
petra,3,2.946,0.91271
gua,3,2.946,0.91271
excesses,3,2.946,0.91271
scram,3,2.946,0.91271
mic,3,2.946,0.91271
flares,3,2.946,0.91271
incident,3,2.946,0.91271
orski,3,2.946,0.91271
neutri,3,2.946,0.91271
gsfc,3,2.946,0.91271
inject,3,2.946,0.91271
histograms,3,2.946,0.91271
trinos,3,2.946,0.91271
histogram,3,2.946,0.91271
arriving,3,2.946,0.91271
brighter,3,2.946,0.91271
sensitiv,3,2.946,0.91271
hgayala,3,2.946,0.91271
outgoing,3,2.946,0.91271
halo,3,2.946,0.91271
tubes,3,2.946,0.91271
dip,3,2.946,0.91271
cascade,3,2.946,0.91271
duty,3,2.946,0.91271
detectable,3,2.946,0.91271
pperbound,3,2.946,0.91271
isica,3,2.946,0.91271
clue,3,2.946,0.91271
coronal,3,2.946,0.91271
interplanetary,3,2.946,0.91271
radial,3,2.946,0.91271
penetrate,3,2.946,0.91271
declinations,3,2.946,0.91271
rayflux,3,2.946,0.91271
energetic,3,2.946,0.91271
rigidity,3,2.946,0.91271
edgehitspersecond,3,2.946,0.91271
uncorr,3,2.946,0.91271
gasmap,3,2.946,0.91271
simulations,7,1.154,0.83435
power,7,1.154,0.83435
combined,7,1.154,0.83435
estimated,7,1.154,0.83435
information,7,1.154,0.83435
framework,7,1.154,0.83435
technique,7,1.154,0.83435
net,7,1.154,0.83435
direct,7,1.154,0.83435
public,6,1.336,0.82814
thresholds,6,1.336,0.82814
green,6,1.336,0.82814
check,6,1.336,0.82814
directions,6,1.336,0.82814
overall,6,1.336,0.82814
potential,8,1.0,0.82619
current,8,1.0,0.82619
tests,8,1.0,0.82619
presence,8,1.0,0.82619
axis,8,1.0,0.82619
following,8,1.0,0.82619
activity,8,1.0,0.82619
radiation,5,1.56,0.80534
uniform,5,1.56,0.80534
location,5,1.56,0.80534
negligible,5,1.56,0.80534
dominated,5,1.56,0.80534
track,5,1.56,0.80534
pressure,5,1.56,0.80534
php,4,1.847,0.76311
acceptance,4,1.847,0.76311
distri,4,1.847,0.76311
freedom,4,1.847,0.76311
plane,4,1.847,0.76311
count,4,1.847,0.76311
occurring,4,1.847,0.76311
passed,4,1.847,0.76311
uses,7,1.0,0.72292
sample,7,1.0,0.72292
tions,7,1.0,0.72292
www,7,1.0,0.72292
probability,7,1.0,0.72292
statistics,7,1.0,0.72292
account,7,1.0,0.72292
errors,7,1.0,0.72292
survey,7,1.0,0.72292
density,7,1.0,0.72292
production,6,1.154,0.71516
population,6,1.154,0.71516
interesting,6,1.154,0.71516
select,6,1.154,0.71516
size,6,1.154,0.71516
mass,6,1.154,0.71516
inverse,6,1.154,0.71516
tanks,3,2.253,0.69795
lat,3,2.253,0.69795
partners,3,2.253,0.69795
counterpart,3,2.253,0.69795
mat,3,2.253,0.69795
southern,3,2.253,0.69795
sults,3,2.253,0.69795
maximal,3,2.253,0.69795
predefined,3,2.253,0.69795
placed,3,2.253,0.69795
riod,3,2.253,0.69795
butions,3,2.253,0.69795
fluctuation,3,2.253,0.69795
divide,3,2.253,0.69795
arrays,3,2.253,0.69795
probe,3,2.253,0.69795
electrons,3,2.253,0.69795
nominal,3,2.253,0.69795
subtracting,3,2.253,0.69795
messenger,3,2.253,0.69795
sig,3,2.253,0.69795
repeat,3,2.253,0.69795
galaxies,3,2.253,0.69795
gravitational,3,2.253,0.69795
radio,3,2.253,0.69795
charged,3,2.253,0.69795
nearby,3,2.253,0.69795
ticas,3,2.253,0.69795
responsible,5,1.336,0.69011
expect,5,1.336,0.69011
units,5,1.336,0.69011
ence,5,1.336,0.69011
half,5,1.336,0.69011
dashed,5,1.336,0.69011
subject,5,1.336,0.69011
sea,4,1.56,0.64427
weeks,4,1.56,0.64427
yielding,4,1.56,0.64427
combining,4,1.56,0.64427
duration,4,1.56,0.64427
son,4,1.56,0.64427
started,4,1.56,0.64427
decade,4,1.56,0.64427
normalization,4,1.56,0.64427
periods,4,1.56,0.64427
checks,4,1.56,0.64427
structures,6,1.0,0.61964
response,6,1.0,0.61964
non,6,1.0,0.61964
against,6,1.0,0.61964
com,6,1.0,0.61964
identify,6,1.0,0.61964
long,6,1.0,0.61964
better,6,1.0,0.61964
terms,6,1.0,0.61964
across,6,1.0,0.61964
interest,6,1.0,0.61964
structure,6,1.0,0.61964
being,6,1.0,0.61964
previous,6,1.0,0.61964
much,6,1.0,0.61964
understanding,6,1.0,0.61964
complete,6,1.0,0.61964
integration,6,1.0,0.61964
step,6,1.0,0.61964
positive,6,1.0,0.61964
according,5,1.154,0.59597
populations,5,1.154,0.59597
dependent,5,1.154,0.59597
available,5,1.154,0.59597
dis,5,1.154,0.59597
still,5,1.154,0.59597
prior,5,1.154,0.59597
derived,5,1.154,0.59597
associated,5,1.154,0.59597
distributed,5,1.154,0.59597
along,5,1.154,0.59597
shape,5,1.154,0.59597
gives,5,1.154,0.59597
scales,5,1.154,0.59597
expressed,5,1.154,0.59597
analyzing,5,1.154,0.59597
direction,5,1.154,0.59597
respective,5,1.154,0.59597
close,5,1.154,0.59597
variation,5,1.154,0.59597
portions,3,1.847,0.57233
ambient,3,1.847,0.57233
dominant,3,1.847,0.57233
nos,3,1.847,0.57233
passing,3,1.847,0.57233
